CMDLINE /home/jaime/anaconda3/bin/python measure_memory_usage.py
MEM 190.718750 1579035333.5936
MEM 190.718750 1579035333.6940
MEM 190.718750 1579035333.7944
MEM 190.718750 1579035333.8949
MEM 190.718750 1579035333.9953
MEM 190.718750 1579035334.0957
MEM 190.718750 1579035334.1961
MEM 190.718750 1579035334.2966
MEM 190.718750 1579035334.3970
MEM 190.718750 1579035334.4973
MEM 190.718750 1579035334.5977
MEM 190.718750 1579035334.6981
MEM 190.718750 1579035334.7984
MEM 190.718750 1579035334.8988
MEM 190.718750 1579035334.9991
MEM 190.718750 1579035335.0995
MEM 190.718750 1579035335.1999
MEM 190.718750 1579035335.3003
MEM 190.718750 1579035335.4007
MEM 190.718750 1579035335.5010
MEM 190.718750 1579035335.6013
MEM 190.718750 1579035335.7017
MEM 190.718750 1579035335.8019
MEM 190.718750 1579035335.9023
MEM 190.718750 1579035336.0027
MEM 190.718750 1579035336.1031
MEM 190.718750 1579035336.2035
MEM 190.718750 1579035336.3039
MEM 190.718750 1579035336.4042
MEM 190.718750 1579035336.5045
MEM 190.718750 1579035336.6049
MEM 190.718750 1579035336.7052
MEM 190.718750 1579035336.8055
MEM 190.718750 1579035336.9059
MEM 190.718750 1579035337.0062
MEM 190.718750 1579035337.1066
MEM 190.718750 1579035337.2069
MEM 190.718750 1579035337.3073
MEM 190.718750 1579035337.4076
MEM 190.718750 1579035337.5080
MEM 190.718750 1579035337.6083
MEM 190.718750 1579035337.7086
MEM 190.718750 1579035337.8089
MEM 190.718750 1579035337.9093
MEM 190.718750 1579035338.0096
MEM 190.718750 1579035338.1100
MEM 190.718750 1579035338.2103
MEM 190.718750 1579035338.3107
MEM 190.718750 1579035338.4110
MEM 190.718750 1579035338.5113
MEM 190.718750 1579035338.6116
MEM 190.718750 1579035338.7119
MEM 190.718750 1579035338.8123
MEM 190.718750 1579035338.9126
MEM 190.718750 1579035339.0129
MEM 190.718750 1579035339.1133
MEM 190.718750 1579035339.2137
MEM 190.718750 1579035339.3140
MEM 190.718750 1579035339.4144
MEM 190.718750 1579035339.5147
MEM 190.718750 1579035339.6151
MEM 190.718750 1579035339.7154
MEM 190.718750 1579035339.8158
MEM 190.718750 1579035339.9161
MEM 190.718750 1579035340.0165
MEM 190.718750 1579035340.1168
MEM 190.718750 1579035340.2172
MEM 190.718750 1579035340.3175
MEM 190.718750 1579035340.4180
MEM 190.718750 1579035340.5184
MEM 190.718750 1579035340.6188
MEM 190.718750 1579035340.7192
MEM 190.718750 1579035340.8197
MEM 190.718750 1579035340.9201
MEM 190.718750 1579035341.0205
MEM 190.718750 1579035341.1210
MEM 190.718750 1579035341.2214
MEM 190.718750 1579035341.3218
MEM 190.718750 1579035341.4222
MEM 190.718750 1579035341.5225
MEM 190.718750 1579035341.6229
MEM 190.718750 1579035341.7233
MEM 190.718750 1579035341.8236
MEM 190.718750 1579035341.9240
MEM 190.718750 1579035342.0244
MEM 190.718750 1579035342.1248
MEM 190.718750 1579035342.2252
MEM 190.718750 1579035342.3255
MEM 190.718750 1579035342.4260
MEM 190.718750 1579035342.5263
MEM 190.718750 1579035342.6266
MEM 190.718750 1579035342.7269
MEM 190.718750 1579035342.8273
MEM 190.718750 1579035342.9277
MEM 190.718750 1579035343.0280
MEM 190.718750 1579035343.1284
MEM 190.718750 1579035343.2288
MEM 190.718750 1579035343.3292
MEM 190.718750 1579035343.4295
MEM 190.718750 1579035343.5299
MEM 190.718750 1579035343.6302
MEM 190.718750 1579035343.7306
MEM 190.718750 1579035343.8309
MEM 190.718750 1579035343.9312
MEM 190.718750 1579035344.0316
MEM 190.718750 1579035344.1320
MEM 190.718750 1579035344.2323
MEM 190.718750 1579035344.3327
MEM 190.718750 1579035344.4331
MEM 190.718750 1579035344.5334
MEM 190.718750 1579035344.6337
MEM 190.718750 1579035344.7341
MEM 190.718750 1579035344.8345
MEM 190.718750 1579035344.9349
MEM 190.718750 1579035345.0353
MEM 190.718750 1579035345.1356
MEM 190.718750 1579035345.2360
MEM 190.718750 1579035345.3364
MEM 190.718750 1579035345.4367
FUNC __main__.create_graph 119.9180 1579035312.9854 151.6602 1579035320.4268 0
FUNC __main__.seq_k_core_decompo 151.6602 1579035321.4283 164.7617 1579035328.4283 0
FUNC __main__.naive_approach 164.7617 1579035329.4300 169.4688 1579035346.6476 0
MEM 190.718750 1579035345.5372
MEM 190.718750 1579035345.6376
MEM 190.718750 1579035345.7380
MEM 190.718750 1579035345.8384
MEM 190.718750 1579035345.9388
MEM 190.718750 1579035346.0391
MEM 190.718750 1579035346.1395
MEM 190.718750 1579035346.2399
MEM 190.718750 1579035346.3402
MEM 190.718750 1579035346.4406
MEM 190.718750 1579035346.5410
MEM 182.718750 1579035346.6413
MEM 162.878906 1579035346.7417
MEM 136.128906 1579035346.8421
