CMDLINE /home/jaime/anaconda3/bin/python measure_memory_usage.py
MEM 1.871094 1579035389.7311
MEM 13.679688 1579035389.8314
MEM 25.574219 1579035389.9321
MEM 34.996094 1579035390.0325
MEM 43.660156 1579035390.1329
MEM 69.832031 1579035390.2332
MEM 76.234375 1579035390.3337
MEM 87.160156 1579035390.4340
MEM 88.382812 1579035390.5346
MEM 89.824219 1579035390.6350
MEM 97.363281 1579035390.7353
MEM 102.937500 1579035390.8357
MEM 121.703125 1579035390.9361
MEM 125.312500 1579035391.0365
MEM 128.429688 1579035391.1369
MEM 131.261719 1579035391.2373
MEM 133.582031 1579035391.3377
MEM 135.644531 1579035391.4381
MEM 137.707031 1579035391.5385
MEM 139.511719 1579035391.6388
MEM 141.832031 1579035391.7392
MEM 143.378906 1579035391.8396
MEM 144.925781 1579035391.9400
MEM 146.730469 1579035392.0404
MEM 148.019531 1579035392.1408
MEM 149.824219 1579035392.2412
MEM 151.113281 1579035392.3416
MEM 152.402344 1579035392.4420
MEM 153.175781 1579035392.5424
MEM 153.175781 1579035392.6432
MEM 153.175781 1579035392.7439
MEM 153.175781 1579035392.8445
MEM 153.175781 1579035392.9452
MEM 153.175781 1579035393.0458
MEM 153.175781 1579035393.1466
MEM 153.175781 1579035393.2473
MEM 153.175781 1579035393.3482
MEM 153.175781 1579035393.4488
MEM 163.488281 1579035393.5492
MEM 170.515625 1579035393.6496
MEM 181.015625 1579035393.7499
MEM 184.968750 1579035393.8503
MEM 188.273438 1579035393.9507
MEM 188.273438 1579035394.0510
MEM 188.113281 1579035394.1514
MEM 189.402344 1579035394.2517
MEM 189.402344 1579035394.3521
MEM 189.160156 1579035394.4524
MEM 189.160156 1579035394.5528
MEM 189.347656 1579035394.6532
MEM 189.347656 1579035394.7536
MEM 189.347656 1579035394.8540
MEM 189.347656 1579035394.9543
MEM 189.347656 1579035395.0547
MEM 189.605469 1579035395.1550
MEM 189.730469 1579035395.2554
MEM 188.183594 1579035395.3559
MEM 190.246094 1579035395.4562
MEM 190.246094 1579035395.5566
MEM 165.609375 1579035395.6573
MEM 165.609375 1579035395.7579
MEM 165.609375 1579035395.8587
MEM 165.609375 1579035395.9594
MEM 165.609375 1579035396.0602
MEM 165.609375 1579035396.1606
MEM 165.609375 1579035396.2614
MEM 165.609375 1579035396.3622
